JOBID,PROJECT_NAME,JOB_NAME,TARGET_OBJECT_NAME
1008,RESERVATION,LZ_ODS_P_BUSINESS_SUPPORT.RES_SUPP.0050.RES_SUPP_GRP_2,ODS_P_BUSINESS_SUPPORT.RES_SUPP.PS_RT_RATE_TBL
2538,RESERVATION,ODS_EDW.RES_CAPACITY_NCL.1000.Load_FACT_Capacity_Cabin_MT,EDW_P.RES.CABIN_AVAILABILITY_MT
2548,RESERVATION,ODS_EDW.RES_NCL.1.Load_DIM_Guest,EDW_P.RES.DIM_GUEST
2555,RESERVATION,ODS_EDW.RES_NCL.1.Load_DIM_Itinerary_Master,EDW_P.RES.DIM_ITINERARY_MASTER
2563,RESERVATION,ODS_EDW.RES_NCL.11.Load_FACT_Group_Commission,STG_P.RES_SUPP.INVOICE_ITEM_TYPE_SUPP
2563,RESERVATION,ODS_EDW.RES_NCL.11.Load_FACT_Group_Commission,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2573,RESERVATION,ODS_EDW.RES_NCL.11.Load_FACT_Group_Invoice,STG_P.RES_SUPP.INVOICE_ITEM_TYPE_SUPP
2573,RESERVATION,ODS_EDW.RES_NCL.11.Load_FACT_Group_Invoice,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2582,RESERVATION,ODS_EDW.RES_NCL.115.Load_FACT_Amenity_Invoice,STG_P.RES_SUPP.INVOICE_ITEM_TYPE_SUPP
2582,RESERVATION,ODS_EDW.RES_NCL.115.Load_FACT_Amenity_Invoice,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2592,RESERVATION,ODS_EDW.RES_NCL.115.Load_FACT_Res_Commission,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2592,RESERVATION,ODS_EDW.RES_NCL.115.Load_FACT_Res_Commission,STG_P.RES_SUPP.INVOICE_ITEM_TYPE_SUPP
2602,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Cost,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2602,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Cost,STG_P.RES_SUPP.INVOICE_ITEM_TYPE_SUPP
2615,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Invoice,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2615,RESERVATION,ODS_EDW.RES_NCL.12.Load_FACT_Res_Invoice,STG_P.RES_SUPP.INVOICE_ITEM_TYPE_SUPP
2627,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_GRP_Amenity_Cost,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2627,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_GRP_Amenity_Cost,STG_P.RES_SUPP.INVOICE_ITEM_TYPE_SUPP
2639,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_Res_Air_Cost,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2639,RESERVATION,ODS_EDW.RES_NCL.122.Load_FACT_Res_Air_Cost,STG_P.RES_SUPP.INVOICE_ITEM_TYPE_SUPP
2653,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Promo_Amenity,STG_P.RES_SUPP.INVOICE_ITEM_TYPE_SUPP
2653,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Promo_Amenity,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2663,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Res_Charges,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2663,RESERVATION,ODS_EDW.RES_NCL.124.Load_FACT_Res_Charges,STG_P.RES_SUPP.INVOICE_ITEM_TYPE_SUPP
2674,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_CRP_Cost,STG_P.RES_SUPP.INVOICE_ITEM_TYPE_SUPP
2674,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_CRP_Cost,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2685,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_Minibar_Cost,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
